artist,album,track_name,track_id,artist_genre,album_genre,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Majorstua Kammerkor & Tore Erik Mohn,Ola Gjeilo: Sunrise Mass,The Spheres,5ZN83XB8ckwdZ1drZXz3iO,,,0.077,0.045,0,-26.106,0,0.0465,0.97,0.11,0.0274,81.504,332083,4
Majorstua Kammerkor & Tore Erik Mohn,Ola Gjeilo: Sunrise Mass,Sunrise,4hm9JoGYVs0ZGgrINI8MaT,,,0.174,0.119,2,-21.97,1,0.0462,0.551,0.103,0.0363,127.761,623333,4
Majorstua Kammerkor & Tore Erik Mohn,Ola Gjeilo: Sunrise Mass,The City,1pLfh4ZgPN6xNAM4NQ9zET,,,0.126,0.159,3,-20.251,1,0.0378,0.291,0.185,0.0403,88.031,640417,4
Majorstua Kammerkor & Tore Erik Mohn,Ola Gjeilo: Sunrise Mass,Identity & The Ground,31y00VdSLLTa6DWQaev3TL,,,0.101,0.0331,8,-26.737,1,0.0432,0.504,0.201,0.0296,89.292,373333,4
The Wartburg Choir,Unclouded Day,Unclouded Day,4NdVx2DUgnZR83uu4MgZvP,,,0.32,0.197,7,-17.926,1,0.0334,0.912,0.0854,0.277,112.3,156480,4
The Wartburg Choir,Unclouded Day,Angel Band,0kjJWObmU0gB7BeB0X6oEb,,,0.205,0.11,7,-19.618,1,0.0383,0.932,0.0868,0.111,124.63,353187,4
Santa Fe Desert Chorale,The Road Home,Hallelujah (Arr. Shawn Kirchner),6qzQlFv8YV1MoomNxGmhJJ,,,0.184,0.118,9,-22.992,1,0.052,0.244,0.0803,0.193,169.959,207013,4
Nordic Chamber Choir - Nicol Matt,O Magnum Mysterium,O Magnum Mysterium,31zjVEWfYxkeuuSnUHyUz3,,,0.145,0.011,2,-27.626,1,0.0478,0.399,0.0866,0.0334,139.56,415773,3
The Master Chorale of Tampa Bay,Light of the Midnight Sun,Flight Song,70KKDTSulUNPN7mf28hBxr,american choir,,0.101,0.0869,1,-24.414,1,0.038,0.818,0.131,0.179,66.409,228280,3
Phoenix Chamber Choir,Why The Caged Bird Sings,Let my Love be Heard,1VjFCgKZOS6O2gQsNQULMS,"canadian choir,chamber choir",,0.0758,0.0452,4,-24.567,1,0.0441,0.592,0.159,0.031,79.77,313960,3
The Master Chorale of Tampa Bay,Light of the Midnight Sun,Even When He Is Silent,73XZVLv45lOzUjNSqP7drV,american choir,,0.0675,0.0621,0,-27.822,1,0.0476,0.019,0.0911,0.0344,63.573,273107,4
