artist,album,track_name,track_id,artist_genre,album_genre,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Bob Dylan,The Times They Are A-Changin',The Times They Are A-Changin',52vA3CYKZqZVdQnzRrdZt6,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter",,0.389,0.396,7,-7.999,1,0.0332,0,0.0828,0.585,171.86,192053,3
The Beatles,1 (Remastered),I Want To Hold Your Hand - Remastered 2015,4pbG9SUmWIvsROVLF0zF9s,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,0.49,0.715,7,-5.549,1,0.0476,0,0.311,0.866,130.726,145747,4
The Beatles,Rubber Soul (Remastered),Norwegian Wood (This Bird Has Flown) - Remastered 2009,1H7gMYGykdtwZOV6s1N0by,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,0.425,0.369,4,-11.876,1,0.0379,0.00126,0.112,0.65,176.625,124693,3
The Beatles,Revolver (Remastered),Tomorrow Never Knows - Remastered 2009,00oZhqZIQfL9P5CjOP6JsO,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,0.38,0.829,5,-6.105,1,0.0405,0.00208,0.342,0.0534,125.887,179547,4
The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),Within You Without You - Remastered 2009,3Umg8CDhO8dOSj7yBTInYb,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,0.352,0.479,6,-9.965,1,0.0338,0.000353,0.486,0.354,126.166,304667,4
Buffalo Springfield,Buffalo Springfield,For What It's Worth,1qRA5BS78u3gME0loMl9AA,"blues rock,classic rock,country rock,folk,folk rock,mellow gold,psychedelic rock,rock,roots rock,soft rock,traditional folk",,0.653,0.519,2,-10.164,1,0.0497,0.0209,0.101,0.822,98.883,153693,4
The Doors,The Doors,Break on Through (To the Other Side),6ToM0uwxtPKo9CMpbPGYvM,"acid rock,album rock,classic rock,psychedelic rock,rock",,0.421,0.751,9,-9.584,1,0.0472,0,0.17,0.789,89.839,145867,4
The Grass Roots,20th Century Masters: The Millennium Collection: Best Of The Grass Roots,Let's Live For Today,2IobDyMywYgrJAdLpRvqvT,"brill building pop,bubblegum pop,classic rock,country rock,folk rock,mellow gold,merseybeat,psychedelic rock,soft rock,sunshine pop",,0.597,0.345,8,-12.462,0,0.0363,0,0.0465,0.54,115.373,167400,4
Jimi Hendrix,Are You Experienced,Are You Experienced?,02POyqtbrdmYQ3RxsTrYMD,"acid rock,album rock,blues rock,classic rock,hard rock,psychedelic rock,rock",,0.403,0.763,8,-6.727,1,0.118,0.00985,0.148,0.455,82.812,255613,4
Jefferson Airplane,Surrealistic Pillow,White Rabbit,4vpeKl0vMGdAXpZiQB2Dtd,"acid rock,art rock,classic rock,folk rock,psychedelic rock,rock,roots rock",,0.551,0.293,2,-12.503,1,0.0272,0.000273,0.0864,0.322,106.798,150640,4
Love,Forever Changes (2015 Remastered Version),The Red Telephone - 2015 Remaster,3URRBJKRfCnlit1jVoncUD,"acid rock,art rock,classic rock,country rock,experimental,folk rock,psychedelic rock,rock,roots rock",,0.471,0.258,7,-19.476,1,0.0346,8.16e-05,0.11,0.0908,110.634,284320,4
Scott McKenzie,The Voice of Scott McKenzie (Expanded Edition),San Francisco (Be Sure to Wear Some Flowers In Your Hair),77qBwefBIdzymXNCuAI8YX,"bubblegum pop,folk rock",,0.495,0.67,7,-5.918,1,0.0284,2.52e-05,0.219,0.478,112.443,178933,4
The Velvet Underground,The Velvet Underground & Nico 45th Anniversary,Venus In Furs,29engDqjmMr3VLqMm0c0WE,"alternative rock,art rock,classic rock,folk rock,melancholia,permanent wave,protopunk,psychedelic rock,rock",,0.225,0.618,8,-9.922,0,0.0331,0.616,0.079,0.567,144.724,312253,4
Various Artists,Forrest Gump - The Soundtrack,Let's Get Together,4ZewxSPZxwMU91AIeTU5n4,"bubblegum pop,classic garage rock,classic rock,country rock,folk rock,psychedelic rock,roots rock,traditional folk",,0.538,0.631,2,-7.587,1,0.0249,0.00266,0.0708,0.616,102.956,275017,4
Pink Floyd,The Piper at the Gates of Dawn,Astronomy Domine,3Y8gNcoJu1uJ5L1BZuGvqB,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock",,0.348,0.634,2,-11.527,1,0.048,0.474,0.346,0.0803,124.079,251279,4
The Byrds,The Notorious Byrd Brothers,Wasn't Born to Follow,3Lk77QOBVywNAVSqOPcuw2,"art rock,beatlesque,blues rock,brill building pop,classic rock,cosmic american,country rock,folk,folk rock,mellow gold,psychedelic rock,rock,roots rock,soft rock,traditional folk",,0.48,0.435,7,-8.851,1,0.0359,7.75e-05,0.204,0.538,93.352,123840,4
Donovan,The Hurdy Gurdy Man,Hurdy Gurdy Man,7AL6qzIDHIX7pEUWrzNiIs,"art rock,brill building pop,british folk,british invasion,classic rock,country rock,folk,folk rock,glam rock,mellow gold,psychedelic folk,psychedelic rock,rock,roots rock,scottish singer-songwriter,traditional folk",,0.405,0.463,0,-16.167,1,0.0542,0.0442,0.392,0.542,79.451,193467,4
The Doors,Waiting for the Sun,Five to One,5FlBGGwGuqYmqr0qeBWrxe,"acid rock,album rock,classic rock,psychedelic rock,rock",,0.615,0.401,4,-14.07,0,0.0507,0,0.086,0.672,87.959,264960,4
The Moody Blues,In Search Of The Lost Chord,Legend Of A Mind,7Gzlsdq3UscVRqRn7x7avR,"album rock,art rock,british invasion,classic rock,country rock,folk,folk rock,hard rock,mellow gold,progressive rock,psychedelic rock,rock,soft rock,symphonic rock",,0.33,0.461,2,-12.407,1,0.0314,0.184,0.151,0.322,127.058,396613,4
Creedence Clearwater Revival,Willy And The Poor Boys,Fortunate Son,4BP3uh0hFLFRb5cjsgLqDh,"album rock,classic rock,country rock,rock,roots rock,southern rock,swamp rock",,0.64,0.663,0,-7.516,1,0.0374,0.00806,0.152,0.663,132.77,140773,4
"Crosby, Stills, Nash & Young",So Far,Ohio,0ToHhkK4qtwEyKOxhQpMbJ,"album rock,art rock,blues rock,classic rock,country rock,folk,folk rock,mellow gold,psychedelic rock,rock,roots rock,soft rock,supergroup",,0.445,0.529,0,-10.94,1,0.026,0.0162,0.184,0.749,79.296,183733,4
Neil Young,Greatest Hits,Southern Man,49oBc3D8BDT7l7QWl9SOD3,"album rock,canadian singer-songwriter,classic canadian rock,classic rock,mellow gold,permanent wave,rock,roots rock,singer-songwriter",,0.381,0.601,7,-8.383,0,0.0325,0.091,0.0753,0.675,160.879,331440,3
