artist,album,track_name,track_id,artist_genre,album_genre,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Deluxe Version],Mountains,6w5sIyRvjTCqmE0LELgfSE,"german soundtrack,soundtrack",,0.304,0.0585,9,-16.949,0,0.0351,0.928,0.0982,0.0371,119.975,219093,4
Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Deluxe Version],No Time for Caution,1W6LZGinxm6voDaC8NVnDU,"german soundtrack,soundtrack",,0.262,0.224,9,-20.231,0,0.0463,0.95,0.118,0.0388,119.715,246272,4
Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Deluxe Version],S.T.A.Y.,1ElqGqBU7f4s7ulpAjIlcO,"german soundtrack,soundtrack",,0.0793,0.0301,5,-30.777,1,0.0425,0.929,0.0741,0.0256,191.413,383513,3
Various Artists,The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack),The Treason of Isengard,4OS6Rl6cSasFeIw7Tq3dLK,"canadian classical,canadian soundtrack,middle earth,scorecore,soundtrack,video game music",,0.0824,0.233,9,-16.068,0,0.0372,0.8,0.0847,0.0664,83.259,240640,4
Various Artists,The Lord of the Rings - The Return of the King - The Complete Recordings (Limited Edition),The Battle of the Pelennor Fields,2pSMjadGmWcUbIF5eqLUxE,"canadian classical,canadian soundtrack,middle earth,scorecore,soundtrack,video game music",,0.175,0.399,4,-14.865,0,0.0501,0.959,0.0799,0.069,120.942,250040,5
Various Artists,The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack),"The Breaking of the Fellowship (feat. ""In Dreams"")",1ykbtFnlIjmIFnZ8j6wg6i,"canadian classical,canadian soundtrack,middle earth,scorecore,soundtrack,video game music",,0.131,0.137,2,-20.553,1,0.0387,0.485,0.087,0.0465,78.577,440800,4
Ennio Morricone,"The Good, The Bad & The Ugly (Original Motion Picture Soundtrack)",The Ecstasy Of Gold,6PrKZUXJPmBiobMN44yR8Y,"classic soundtrack,italian soundtrack,soundtrack,vintage italian soundtrack",,0.134,0.474,9,-13.864,0,0.0518,0.58,0.195,0.133,98.854,203227,4
Hans Zimmer,The Pacific (Music From the HBO Miniseries),"Honor (Main Title Theme from ""The Pacific"")",4aW4Dpz3gpb619hBXDrFUa,"german soundtrack,soundtrack",,0.19,0.276,1,-14.83,1,0.0346,0.908,0.11,0.0575,68.619,176587,4
Hans Zimmer,Inception (Music From The Motion Picture),Time,6ZFbXIJkuI1dVNWvzJzown,"german soundtrack,soundtrack",,0.221,0.0879,7,-16.996,1,0.0381,0.698,0.0869,0.0401,126.622,275547,4
Lisa Gerrard,Gladiator - Music From The Motion Picture,"Now We Are Free - From ""Gladiator"" Soundtrack",1raWfcURBd1Q3W3K0ojDCM,"bow pop,ethereal wave,neoclassical darkwave,oceania soundtrack",,0.286,0.217,9,-18.805,1,0.0336,0.099,0.104,0.0389,138.225,254307,4
