artist,album,track_name,track_id,artist_genre,album_genre,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
John Denver,"The John Denver Collection, Vol. 1: Take Me Home Country Roads","Take Me Home, Country Roads - Rerecorded",2xYlyywNgefLCRDG8hlxZq,"adult standards,classic country pop,folk,folk rock,mellow gold,soft rock",,0.255,0.43,9,-12.564,1,0.0322,1.87e-05,0.188,0.546,164.267,197813,4
Bob Dylan,The Times They Are A-Changin',The Times They Are A-Changin',52vA3CYKZqZVdQnzRrdZt6,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter",,0.389,0.396,7,-7.999,1,0.0332,0.0,0.0828,0.585,171.86,192053,3
Jeff Buckley,Grace (Legacy Edition),Hallelujah,74X1epeRufHckhuX1KFD04,"melancholia,permanent wave,rock,singer-songwriter",,0.339,0.143,0,-10.78,1,0.0317,0.000636,0.372,0.0948,101.213,413320,3
James Taylor,Sweet Baby James,Fire and Rain,3LcYYV9ozePfgYYmXv0P3r,"classic rock,folk,folk rock,mellow gold,rock,singer-songwriter,soft rock",,0.611,0.35,5,-14.48,1,0.0356,7.84e-06,0.0844,0.36,76.064,200579,4
"Peter, Paul and Mary",Moving,"Puff, the Magic Dragon",3hqsBLMAqJqrhr434Z7WlA,"american folk revival,brill building pop,bubblegum pop,folk,folk rock,mellow gold,soft rock,traditional folk",,0.507,0.088,9,-23.309,1,0.0343,0.0,0.0984,0.398,144.226,206867,4
Bob Dylan,Pat Garrett & Billy The Kid [Soundtrack From The Motion Picture) (Remastered],Knockin' On Heaven's Door,6HSXNV0b4M4cLJ7ljgVVeh,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter",,0.513,0.396,7,-13.061,1,0.0299,0.177,0.11,0.229,140.208,149880,4
John Denver,"Poems, Prayers and Promises",Sunshine On My Shoulders,3m8lTUL5GxGUNSaycI77ND,"adult standards,classic country pop,folk,folk rock,mellow gold,soft rock",,0.322,0.168,10,-13.893,1,0.0336,0.000223,0.117,0.259,146.68,311893,4
Bob Dylan,Bringing It All Back Home,Mr. Tambourine Man,3RkQ3UwOyPqpIiIvGVewuU,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter",,0.39,0.31,5,-14.545,1,0.0676,0.0,0.379,0.584,177.515,330533,4
Kansas,Point Of Know Return (Expanded Edition),Dust in the Wind,6zeE5tKyr8Nu882DQhhSQI,"album rock,art rock,bow pop,classic rock,hard rock,heartland rock,mellow gold,progressive rock,rock,soft rock,symphonic rock",,0.475,0.322,7,-10.687,1,0.0283,0.00056,0.11,0.387,93.503,206267,4
Bob Dylan,The Freewheelin' Bob Dylan,Blowin' in the Wind,18GiV1BaXzPVYpp9rmOg0E,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter",,0.38,0.0993,2,-20.567,1,0.0509,2.32e-05,0.0605,0.44,174.874,165427,4
John Denver,Rocky Mountain High,Rocky Mountain High,1ne9wOtDF2jM6Cm8WBkaER,"adult standards,classic country pop,folk,folk rock,mellow gold,soft rock",,0.455,0.437,4,-11.411,1,0.0278,0.0,0.501,0.724,81.396,283640,4
John Denver,Back Home Again,Annie's Song,4J0DbyODwZJcmIAiTSJfMF,"adult standards,classic country pop,folk,folk rock,mellow gold,soft rock",,0.304,0.305,2,-10.879,1,0.0298,0.00368,0.367,0.464,146.066,180693,3
Jim Croce,You Don't Mess Around With Jim,Time In A Bottle,1pmYAWY7Kwaj84U3xZxLML,"album rock,classic rock,country rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock",,0.543,0.256,2,-11.573,1,0.0343,0.0,0.149,0.635,134.257,147960,3
Jim Croce,I Got A Name,I'll Have To Say I Love You In A Song,55KKzF53NXeY7neYbd8wz5,"album rock,classic rock,country rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock",,0.508,0.513,9,-13.947,1,0.0287,0.0303,0.11,0.702,133.791,151827,4
Gordon Lightfoot,If You Could Read My Mind,If You Could Read My Mind,57ct8jKi6trntXiRV0NnXi,"album rock,canadian country,canadian singer-songwriter,classic rock,country rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock,traditional folk",,0.612,0.24,9,-12.821,1,0.033,7.86e-05,0.115,0.223,122.565,228840,4
Gordon Lightfoot,Sundown,The Watchman's Gone,2aWxDsPrW9boRYyWLF6sst,"album rock,canadian country,canadian singer-songwriter,classic rock,country rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock,traditional folk",,0.559,0.491,2,-14.57,1,0.0346,0.000473,0.303,0.658,81.85,258333,4
Creedence Clearwater Revival,Green River,Bad Moon Rising,20OFwXhEXf12DzwXmaV7fj,"album rock,classic rock,country rock,rock,roots rock,southern rock,swamp rock",,0.508,0.774,2,-5.973,1,0.0321,4.87e-06,0.063,0.942,178.946,141600,4
John Denver,John Denver's Greatest Hits,"Leaving, On a Jet Plane - ""Greatest Hits"" Version",3D8dwH690MXQRhtIZTSS9c,"adult standards,classic country pop,folk,folk rock,mellow gold,soft rock",,0.406,0.188,7,-13.039,1,0.0324,0.0,0.105,0.629,120.757,245533,4
Gordon Lightfoot,Sundown,Sundown,0SjnBEHZVXgCKvOrpvzL2k,"album rock,canadian country,canadian singer-songwriter,classic rock,country rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock,traditional folk",,0.794,0.427,11,-15.492,1,0.029,1.04e-05,0.0703,0.751,105.732,213400,4
"Crosby, Stills, Nash & Young",Deja Vu,Our House,2hitsKa8SthKhRJBXUHbIv,"album rock,art rock,blues rock,classic rock,country rock,folk,folk rock,mellow gold,psychedelic rock,rock,roots rock,soft rock,supergroup",,0.593,0.205,9,-14.601,1,0.0479,5.46e-05,0.119,0.377,140.279,179760,4
Elton John,Elton John,Your Song,38zsOOcu31XbbYj9BIPUF1,"glam rock,mellow gold,piano rock,soft rock",,0.554,0.315,3,-11.028,1,0.0298,5.53e-06,0.101,0.325,128.157,241787,4
Simon & Garfunkel,Bookends,"Mrs. Robinson - From ""The Graduate"" Soundtrack",0iOZM63lendWRTTeKhZBSC,"classic rock,folk,folk rock,melancholia,mellow gold,rock",,0.606,0.457,6,-14.035,0,0.0497,2.53e-05,0.0747,0.813,92.033,244027,4
Don McLean,Favorites & Rarities (World),And I Love You So,4bgfMOKbX5q7XHRECffBl5,"adult standards,classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock,traditional folk",,0.31,0.187,11,-15.96,1,0.0285,0.203,0.206,0.127,90.977,257693,4
