artist,album,track_name,track_id,artist_genre,album_genre,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"Grover Washington, Jr.",Anthology,Just the Two of Us (feat. Bill Withers),1ko2lVN0vKGUl9zrU0qSlT,"jazz funk,smooth jazz",,0.803,0.488,1,-9.303,1,0.0803,0.0609,0.0763,0.624,95.771,237106,4
Louis Armstrong,What A Wonderful World,What A Wonderful World - Single Version,29U7stRjqHU6rMiS8BfaI9,"adult standards,dixieland,harlem renaissance,jazz trumpet,new orleans jazz,swing,vocal jazz",,0.271,0.165,5,-20.652,1,0.0351,1.6e-06,0.118,0.203,77.082,139227,4
Frank Sinatra,Sinatra/Basie: The Complete Reprise Studio Recordings,Fly Me To The Moon (In Other Words),5b7OgznPJJr1vHNYGyvxau,"adult standards,easy listening,lounge",,0.668,0.26,7,-14.256,1,0.0523,0.0,0.0621,0.368,119.416,147000,4
"Grover Washington, Jr.",Just the Two of Us,Winelight,1xGRfLVGLwtCdNa8WiRV3E,"jazz funk,smooth jazz",,0.739,0.552,10,-9.659,0,0.0764,0.0336,0.306,0.613,98.941,450853,4
Marvin Gaye,The Very Best Of Marvin Gaye,"Abraham, Martin & John",5SbH1zs8ZfvwAJXUhsE5zO,"classic soul,funk,motown,northern soul,quiet storm,soul",,0.453,0.443,10,-9.022,1,0.0273,4.85e-05,0.159,0.466,94.614,255227,4
Frank Sinatra,Come Fly With Me (Remastered),Come Fly With Me - Remastered,4hHbeIIKO5Y5uLyIEbY9Gn,"adult standards,easy listening,lounge",,0.574,0.338,6,-11.376,1,0.042,0.0,0.165,0.493,67.008,199093,4
Nat King Cole,Unforgettable,Unforgettable,648TTtYB0bH0P8Hfy0FmkL,"adult standards,lounge,soul,vocal jazz",,0.349,0.182,5,-13.507,1,0.031,0.0152,0.143,0.178,136.094,191973,3
Dean Martin,"Dean Martin: The Capitol Recordings, Vol. 11 (1960-1961)",Ain't That A Kick In The Head,7fQ3PYTYdu208fQ3JEm2U7,"adult standards,easy listening,lounge,vocal jazz",,0.586,0.253,6,-11.93,0,0.0538,0.0,0.3,0.718,108.168,147293,1
Bobby Darin,That's All,Beyond the Sea,3KzgdYUlqV6TOG7JCmx2Wg,"adult standards,brill building pop,easy listening,lounge,rock-and-roll,rockabilly,soul,swing,vocal jazz",,0.521,0.516,2,-7.456,0,0.0369,0.0,0.257,0.569,136.483,172480,4
Nat King Cole,The Nat King Cole Story,Smile,1oDCK7PW72XEZ1pE5rh87A,"adult standards,lounge,soul,vocal jazz",,0.226,0.136,5,-19.203,0,0.0327,8.07e-06,0.302,0.263,79.37,173267,5
Gene Kelly,Singin' In The Rain (Original Film Soundtrack),"Singin’ In The Rain (from ""Singin’ In The Rain"")",5y6dpClEYzqIrBms6BjYPK,"adult standards,lounge,movie tunes,vintage hollywood",,0.376,0.308,5,-9.182,1,0.0296,0.108,0.131,0.35,135.545,175227,4
"Grover Washington, Jr.",Mister Magic,Mister Magic,2fmXnPfzguSp3zKDibCBgv,"jazz funk,smooth jazz",,0.734,0.64,5,-8.471,0,0.0661,0.37,0.0602,0.868,103.812,541827,4
Dave Brubeck,Dave Brubeck's Greatest Hits,Take Five,5UbLKRX1qVROlwDFOooEvG,"american modern classical,bebop,cool jazz,jazz,jazz piano",,0.454,0.26,10,-13.213,0,0.0404,0.000778,0.0646,0.567,174.211,324160,5
Duke Ellington,Duke Ellington & John Coltrane,In A Sentimental Mood,0E8q2Fx2XuzXCO2NSAppkR,"adult standards,african-american classical,bebop,big band,cool jazz,harlem renaissance,jazz,jazz piano,lounge,swing,vocal jazz",,0.464,0.305,3,-12.435,0,0.0316,0.0846,0.208,0.282,108.229,255227,4
John Coltrane,Blue Train (Expanded Edition),Blue Train - Remastered 2003,6ZgaUtMlUzUf7SqbUUnfbu,"bebop,contemporary post-bop,cool jazz,free jazz,jazz,jazz saxophone",,0.506,0.493,8,-7.759,1,0.0427,0.00355,0.307,0.584,134.77,644013,4
Dean Martin,Everybody Loves Somebody,Everybody Loves Somebody,5I9sHwLDX28tLtzVgKLtpr,"adult standards,easy listening,lounge,vocal jazz",,0.366,0.391,3,-12.322,1,0.0425,0.0,0.352,0.461,119.182,164547,3
Duke Ellington,Duke Ellington & John Coltrane,My Little Brown Book,4rmCI9VWrwrJTJ8XQ80BMN,"adult standards,african-american classical,bebop,big band,cool jazz,harlem renaissance,jazz,jazz piano,lounge,swing,vocal jazz",,0.372,0.187,0,-13.497,0,0.0323,0.139,0.161,0.217,70.334,319733,4
Andy Williams,Moon River And Other Great Movie Themes,"Moon River (From ""Breakfast at Tiffany's"")",24AIahNHzBxm9S12peXbnG,"adult standards,brill building pop,easy listening,lounge,mellow gold,vocal jazz",,0.281,0.212,6,-15.513,1,0.031,7.73e-05,0.119,0.195,95.555,162893,3
Sammy Davis Jr.,The Decca Years,Something's Gotta Give,3krgfOQI9Szq8cF0Umm1O1,"adult standards,easy listening,lounge,vocal jazz",,0.541,0.341,9,-8.722,0,0.0473,0.0,0.0601,0.635,138.022,125960,3
John Coltrane,Giant Steps (Deluxe Edition),Giant Steps,47vmcuvMWFIsMaiHFIGSIu,"bebop,contemporary post-bop,cool jazz,free jazz,jazz,jazz saxophone",,0.431,0.491,0,-10.746,0,0.0562,0.000458,0.134,0.577,148.243,283440,4
"Earth, Wind & Fire",I Am,Boogie Wonderland,6ztstiyZL6FXzh4aG46ZPD,"disco,funk,jazz funk,motown,quiet storm,soul",,0.802,0.756,2,-10.791,0,0.0349,0.00765,0.0521,0.963,131.715,288293,4
Dean Martin,This Is Dean Martin,Volare (Nel Blu Di Pinto Di Blu) - Remastered,5OkKOkdVTKFrYi6GWXkMzR,"adult standards,easy listening,lounge,vocal jazz",,0.612,0.144,6,-12.204,0,0.0352,0.0,0.203,0.343,128.629,181627,4
"Earth, Wind & Fire",Holiday,"December (Based on ""September"")",6z26LTXBJFIPdpgYIl3JDM,"disco,funk,jazz funk,motown,quiet storm,soul",,0.655,0.911,9,-3.093,1,0.0304,1.18e-05,0.222,0.972,125.047,220107,4
"Earth, Wind & Fire",The Promise,She Waits,39zeJcDodUXuYV7lDN0DTE,"disco,funk,jazz funk,motown,quiet storm,soul",,0.599,0.744,0,-4.679,0,0.0507,2.54e-06,0.283,0.548,141.819,309280,4
Nat King Cole,L-O-V-E,L-O-V-E,4QxDOjgpYtQDxxbWPuEJOy,"adult standards,lounge,soul,vocal jazz",,0.425,0.373,4,-7.543,1,0.0797,0.0,0.077,0.663,78.225,155307,4
Elvis Presley,Blue Hawaii,Can't Help Falling in Love,44AyOl4qVkzS48vBsbNXaC,"rock-and-roll,rockabilly",,0.396,0.293,2,-14.062,1,0.0275,0.000196,0.105,0.343,100.307,182360,3
"Earth, Wind & Fire",Raise!,Let's Groove,3koCCeSaVUyrRo3N2gHrd8,"disco,funk,jazz funk,motown,quiet storm,soul",,0.869,0.648,11,-8.698,0,0.0633,2.17e-05,0.126,0.9,125.035,339320,4
Stevie Wonder,The Definitive Collection,Superstition - Single Version,1h2xVEoJORqrg71HocgqXd,"funk,motown,quiet storm,soul",,0.633,0.634,8,-12.115,1,0.0725,0.0064,0.0385,0.872,100.499,245493,4
Stevie Wonder,For Once In My Life,For Once In My Life,4kP69y3GKHi9tXckfgp4bK,"funk,motown,quiet storm,soul",,0.524,0.519,6,-11.903,1,0.043,0.0,0.523,0.847,110.121,169800,4
Stevie Wonder,"Signed, Sealed And Delivered","Signed, Sealed, Delivered (I'm Yours)",2eF8pWbiivYsYRpbntYsnc,"funk,motown,quiet storm,soul",,0.675,0.597,5,-11.329,1,0.0337,0.0,0.0986,0.828,108.875,161160,4
The Temptations,The Temptations Sing Smokey,My Girl,745H5CctFr12Mo7cqa1BMH,"classic soul,funk,memphis soul,motown,soul",,0.572,0.418,0,-10.738,1,0.0349,0.0,0.0961,0.694,104.566,165000,4
