artist,album,track_name,track_id,artist_genre,album_genre,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
WhoMadeWho,"Get Physical Music Presents: Body Language, Vol. 17 by WhoMadeWho",2K,33xMbeHzmWd6Od0BmLZEUs,"bass music,chillwave,electronica,glitch hop,indietronica,microhouse,wonky",,0.31,0.445,7,-13.355,0,0.0863,0.0678,0.113,0.122,95.36,152560,3
The Doors,Full Circle,4 Billion Souls,3UnyplmZaq547hwsfOR5yy,"acid rock,album rock,classic rock,psychedelic rock,rock",,0.419,0.565,5,-11.565,1,0.0347,0.337,0.128,0.648,151.277,197707,4
Radiohead,In Rainbows (Disk 2),4 Minute Warning,1w8QCSDH4QobcQeT4uMKLm,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",,0.354,0.302,9,-13.078,1,0.0326,0.0709,0.111,0.223,123.753,244285,4
Vitas,Philosophy of Miracle,7 Element,7J9mBHG4J2eIfDAv5BehKA,meme rap,,0.727,0.785,5,-6.707,0,0.0603,0.126,0.31,0.96,129.649,249940,4
Various Artists,Instant Karma: The Amnesty International Campaign To Save Darfur [The Complete Recordings] (Audio Only),#9 Dream,1VZedwJj1gyi88WFRhfThb,"alternative rock,classic rock,permanent wave,pop rock,rock",,0.571,0.724,0,-5.967,1,0.026,0.00311,0.0919,0.385,116.755,278320,4
Various Artists,Instant Karma: The Amnesty International Campaign To Save Darfur [The Complete Recordings] (Audio Only),#9 Dream,3DSmOF7ETJHAQEqqgoSJao,"dance rock,new romantic,new wave,new wave pop,permanent wave,soft rock,synthpop",,0.579,0.777,4,-7.505,1,0.0304,0.000248,0.422,0.481,109.994,247067,4
The Black Keys,Turn Blue,10 Lovers,5HPnumlogzZtpLEaORZjz1,"alternative rock,blues rock,garage rock,modern blues rock,modern rock,punk blues,rock",,0.606,0.638,3,-6.994,0,0.0339,0.000247,0.0887,0.817,97.992,213227,4
Julian Casablancas,Phrazes For The Young,11th Dimension,6i99ThziImjuFABb8rUQvy,"indie rock,modern rock",,0.574,0.925,6,-2.766,0,0.0463,0.0243,0.115,0.369,125.501,243333,4
The Strokes,Room On Fire,12:51,0nkLI0pdyTRpq7BsTFBufZ,"alternative rock,garage rock,modern rock,permanent wave,rock",,0.452,0.889,4,-3.838,1,0.0379,0.8,0.558,0.591,145.056,153133,4
The Strokes,Room On Fire,12:51,6Yu1OL8I0D4vjOzYdsXYGK,"alternative rock,garage rock,modern rock,permanent wave,rock",,0.452,0.889,4,-3.838,1,0.0379,0.8,0.558,0.591,145.056,153133,4
The Beatles,Anthology 2,12 Bar Original - Anthology 2 Version,2HvTGx5fzFGpHSyRNvXd9T,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,0.6,0.535,9,-8.178,1,0.0298,0.102,0.123,0.566,122.678,175080,4
The Strokes,First Impressions Of Earth,15 Minutes,2XS4lIQ1bl9KSNsYtkqK46,"alternative rock,garage rock,modern rock,permanent wave,rock",,0.341,0.881,2,-3.558,1,0.0411,0.0383,0.141,0.394,82.957,273133,3
Radiohead,In Rainbows,15 Step,6dsq7Nt5mIFzvm5kIYNORy,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",,0.6,0.853,1,-7.584,1,0.0423,0.346,0.0934,0.847,94.457,237293,4
Perfume Genius,Put Your Back N 2 It,17,1wKGGfnznnXIvupuEZt9mM,"art pop,chamber pop,chillwave,electropop,experimental pop,freak folk,indie pop,indie rock,indietronica,seattle indie",,0.396,0.141,6,-16.115,1,0.0294,0.434,0.339,0.0443,68.03,150013,4
