artist,album,track_name,track_id,artist_genre,album_genre,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Drake,Views,One Dance,1zi7xx7UVEFkmKfv06H8x0,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",,0.792,0.625,1,-5.609,1,0.0536,0.0018,0.329,0.37,103.967,173987,4
Major Lazer,Peace Is The Mission,Lean On (feat. MØ & DJ Snake),1qE47wUKG2juJwPoLqg4C9,"dance pop,edm,electro house,moombahton,pop,pop rap",,0.723,0.809,7,-3.081,0,0.0625,0.00123,0.565,0.274,98.007,176561,4
Post Malone,Hollywood's Bleeding,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,"dfw rap,melodic rap,rap",,0.755,0.522,2,-4.368,1,0.0575,0.0,0.0685,0.925,89.96,157560,4
Gotye,Making Mirrors,Somebody That I Used To Know,1qDrWA6lyx8cLECdZE7TV7,australian pop,,0.865,0.521,0,-6.932,1,0.0371,0.000115,0.0989,0.748,129.059,244885,4
Adele,21,Rolling in the Deep,1CkvWZme3pRgbzaxZnTl5X,"british soul,pop,uk pop",,0.729,0.756,8,-5.119,1,0.0294,0.0,0.0527,0.522,104.945,228293,4
Macklemore & Ryan Lewis,The Heist,Can't Hold Us - feat. Ray Dalton,3bidbhpOYeV4knp8AIu8Xn,"dance pop,pop,pop rap,seattle hip hop",,0.641,0.922,2,-4.457,1,0.0786,0.0,0.0862,0.847,146.078,258343,4
Ariana Grande,"thank u, next",7 rings,6ocbgoVGwYJhOv1GgI9NsF,"dance pop,pop,post-teen pop",,0.778,0.317,1,-10.732,0,0.334,0.0,0.0881,0.327,140.048,178627,4
Avicii,True,Wake Me Up,4h8VwCb1MTGoLKueQ1WgbD,"big room,dance pop,edm,pop",,0.532,0.783,2,-5.697,1,0.0523,0.0012,0.161,0.643,124.08,247427,4
Eminem,Recovery,Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,"detroit hip hop,hip hop,rap",,0.749,0.925,10,-5.034,1,0.227,0.0,0.52,0.641,86.989,263373,4
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,2Fxmhks0bxGSBdJ92vM42m,"electropop,pop",,0.701,0.425,7,-10.965,1,0.375,0.13,0.1,0.562,135.128,194088,4
Clean Bandit,New Eyes,Rather Be (feat. Jess Glynne),0TVV2gFROJaB3kIZyCUvIY,"dance pop,edm,pop,post-teen pop,tropical house,uk dance,uk funky",,0.799,0.586,11,-6.735,1,0.0377,2.03e-06,0.193,0.549,120.97,227833,4
Carly Rae Jepsen,Kiss,Call Me Maybe,20I6sIOMTCkB6w7ryavxtO,"canadian pop,dance pop,electropop,indie poptimism,pop,post-teen pop",,0.783,0.58,7,-6.548,1,0.0408,2.28e-06,0.108,0.66,120.021,193400,4
fun.,Some Nights,We Are Young (feat. Janelle Monáe),5rgy6ghBq1eRApCkeUdJXf,"baroque pop,metropopolis,modern rock,pop,pop rock",,0.378,0.638,10,-5.576,1,0.075,7.66e-05,0.0849,0.735,184.086,250627,4
Ed Sheeran,÷ (Deluxe),Shape of You,7qiZfU4dY1lWllzX7mPBI3,"pop,uk pop",,0.825,0.652,1,-3.183,0,0.0802,0.0,0.0931,0.931,95.977,233713,4
The Chainsmokers,Closer,Closer,7BKLCZ1jbUBVqRi2FVlTVw,"dance pop,edm,electropop,pop,tropical house",,0.748,0.524,8,-5.599,1,0.0338,0.0,0.111,0.661,95.01,244960,4
OMI,Me 4 U,Cheerleader - Felix Jaehn Remix Radio Edit,7vFoFDWqTX0mHzLfrF1Cfy,dance pop,,0.782,0.685,4,-6.237,1,0.0309,1.18e-05,0.16,0.603,118.016,180566,4
Imagine Dragons,Night Visions,Radioactive,4G8gkOterJn0Ywt6uhqbhp,"modern rock,rock",,0.448,0.784,9,-3.686,1,0.0627,0.000108,0.668,0.236,136.245,186813,4
Shawn Mendes,Shawn Mendes (Deluxe),Señorita,6v3KW9xbzN5yKLt9YKDYA2,"canadian pop,dance pop,pop,post-teen pop,viral pop",,0.759,0.548,9,-6.049,0,0.029,0.0,0.0828,0.749,116.967,190800,4
B.o.B,B.o.B Presents: The Adventures of Bobby Ray,Airplanes (feat. Hayley Williams),6lV2MSQmRIkycDScNtrBXO,"atl hip hop,dance pop,hip hop,pop,pop rap,rap,southern hip hop",,0.66,0.867,6,-4.285,0,0.116,0.0,0.0368,0.377,93.033,180480,4
