artist,album,track_name,track_id,artist_genre,album_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
juno roome,american boy,american boy,5N7ktSDlZ18RfGdnAfZo26,,,0.653,0.4,9,-9.691,1,0.0361,0.768,0.000109,0.114,0.363,96.001,228000,4
The Lunar Year,Herodias,Porcelain,1gEeuTTDXyEHd95rFm4Pop,indie anthem-folk,,0.229,0.155,6,-13.306,1,0.0345,0.943,2.11e-06,0.109,0.113,86.016,206708,4
Tom Rosenthal,Z-Sides,Lights Are On,4IhTXiZLKATmwhMZIb1GQN,"british singer-songwriter,indie anthem-folk,indie folk",,0.44,0.04,3,-16.887,1,0.0322,0.981,0.465,0.111,0.249,135.965,193749,4
Massimo Natali [IT],Nobody's Home,Metronome,5uGY5VV9lZonCaRKm1wwmO,background piano,,0.396,0.00408,6,-34.489,0,0.0542,0.995,0.962,0.109,0.108,65.174,178867,3
Jealous of the Birds,Wisdom Teeth,Kosiskelu,3c6zfoj0h4cfNd9IkEtlid,northern irish indie,,0.542,0.622,4,-5.99,0,0.0385,0.27,8.86e-06,0.0939,0.286,143.984,207933,4
Roman Lewis,Mindless Town,Mindless Town,0pQZ8JROGkVX0sPqSyb7MI,london indie,,0.35,0.192,2,-8.782,1,0.0324,0.851,0.00577,0.103,0.14,75.874,316492,4
Sivu,Sweet Sweet Silent (Deluxe Version),Trickle,7IymjBjEmFGu3koYP7hVML,"cambridgeshire indie,gauze pop",,0.47,0.125,7,-18.941,0,0.0431,0.928,0.00137,0.145,0.117,71.328,250027,4
Jealous of the Birds,Parma Violets,Tonight I Feel Like Kafka,6ojZsSfUuRUC4VxtWLUAdi,northern irish indie,,0.708,0.298,10,-13.671,0,0.0318,0.875,7.05e-06,0.17,0.351,116.048,189107,4
Tora,Can't Buy the Mood,Similar,2HMAB8zla6LG6bpjycfsCT,"alternative r&b,indie soul,vapor soul",,0.41,0.372,1,-8.938,1,0.0487,0.926,3.55e-05,0.114,0.2,147.932,168376,4
Daniel Caesar,CASE STUDY 01,SUPERPOSITION,45PxuJqJBnPXZKLxoo9Apj,"canadian contemporary r&b,pop",,0.589,0.279,4,-11.209,1,0.0408,0.911,0.000128,0.087,0.333,115.656,263795,4
