artist,album,track_name,track_id,artist_genre,album_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Mogwai,Happy Songs for Happy People,I Know You Are but What Am I?,1Wl59jG6FzTmXkIEEk2Tdu,"british post-rock,chamber psych,cosmic post-rock,post-rock",,0.697,0.404,9,-12.765,1,0.0512,0.185,0.742,0.103,0.101,125.977,317240,4
Various Artists,80's,Dance Hall Days,2qximHwGjfuXUqwQSJujO9,"album rock,dance rock,mellow gold,new romantic,new wave,new wave pop,soft rock,synthpop",,0.673,0.686,0,-11.098,1,0.0417,0.306,0.0101,0.318,0.512,102.726,234680,4
Chromatics,Kill for Love,Into the Black,78PuKTcvpFTh5PceV9kBM6,"alternative dance,art pop,chillwave,dance-punk,electronica,electropop,indie pop,indietronica,modern dream pop,neo-synthpop,new rave",,0.392,0.295,9,-12.334,0,0.0304,0.977,0.842,0.279,0.123,108.985,322800,4
James & Bobby Purify,Shake A Tail Feather! The Best Of James And Bobby Purify,I'm Your Puppet,6H8WMHCov3QGaPLbpOMpcJ,"classic soul,motown,northern soul,rhythm and blues,souldies,southern soul",,0.706,0.516,10,-8.378,1,0.032,0.103,0.00107,0.551,0.748,94.428,179960,4
Black Rebel Motorcycle Club,Beat The Devil's Tattoo,Beat The Devil's Tattoo,2Wr7zFf78V0EghGjGKhoP0,"alternative rock,blues rock,dance-punk,garage rock,garage rock revival,indie rock,modern alternative rock,modern blues rock,modern rock,permanent wave,rock",,0.517,0.908,4,-2.816,1,0.0376,0.445,0.0131,0.0902,0.692,96.531,226760,4
Grimes,Art Angels,Flesh without Blood,4ZcGbQ5dOKX6rJk4yvza9R,"art pop,canadian electropop,chillwave,dance pop,electropop,escape room,grave wave,indie pop,indietronica,metropopolis",,0.481,0.965,8,-2.993,1,0.0875,0.000904,0.000727,0.476,0.66,155.938,264524,4
Charles Mingus,The Clown,Haitian Fight Song,7iRXxr5SlW13UYlVg2V6Zt,"avant-garde jazz,bebop,contemporary post-bop,cool jazz,electric bass,free jazz,hard bop,jazz,jazz double bass,jazz fusion",,0.504,0.224,7,-15.824,0,0.0393,0.815,0.0872,0.0922,0.302,75.499,721600,4
Peter Hollens,Legendary Folk Songs,Loch Lomond,1AbjBMyhiiEt5GJiRtlDRX,viral pop,,0.36,0.224,8,-9.643,1,0.0276,0.903,0.0,0.103,0.0992,144.124,200644,4
Peter Hollens,Legendary Folk Songs,House of the Rising Sun,7IpyvDVgVVh3Aij2Vu101h,viral pop,,0.201,0.17,9,-7.849,0,0.0319,0.892,4.12e-05,0.106,0.148,75.47,158155,3
Peter Hollens,Legendary Folk Songs,Loch Lomond,0eUE1gw4CpTlqBktSI9aND,viral pop,,0.314,0.252,9,-9.239,1,0.0325,0.91,0.0,0.134,0.318,136.103,207766,4
Various Artists,Les Misérables (Original Broadway Cast Recording),Stars,7a0dC4TKvEGZMbyAQUuiex,"broadway,hollywood,show tunes",,0.368,0.19,9,-16.695,1,0.0307,0.871,0.0,0.681,0.213,66.03,177800,4
Cayleb Blevins,I Will Never Forget You,I Will Never Forget You,1dMLYaHkHM7aui6w9RgPZc,,,0.454,0.504,9,-10.275,1,0.344,0.503,0.0,0.176,0.311,170.178,202588,4
TheFatRat,Rule the World,Rule the World,4TlxeDCyx8epXp1OoOwyn9,gaming edm,,0.512,0.809,5,-3.253,1,0.143,0.306,0.0,0.138,0.557,203.439,181323,4
Unknown Brain,Dancing On The Moon,Dancing On The Moon,6TjqsHhySocJAEaOLGc7Ox,"bass trap,gaming edm,traprun",,0.699,0.647,0,-4.381,1,0.103,0.25,3e-06,0.122,0.352,91.985,220435,4
I Monster,Dear John EP,Daydream in Blue - BBC Radio 2 Session,159xHPF9XxKuMWEsB9Pg5W,"downtempo,electronica,trip hop",,0.849,0.178,5,-14.839,0,0.0619,0.236,0.459,0.0756,0.317,135.335,238737,4
Just Water,Downtown And Brooklyn: The Complete Recordings,What We Need Is Some Rock - 1975 Version,11JhQHtNDWg5yWhUEGQKeV,,,0.437,0.765,9,-4.745,1,0.0542,0.00487,2.84e-06,0.133,0.86,134.832,180480,4
Les Deux Love Orchestra,Ecstasy,The Moth & The Flame,6NpzkIYecTgirnDViWoisp,,,0.706,0.3,2,-14.218,0,0.0302,0.699,0.0271,0.108,0.0819,108.903,235627,4
