artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
glass beach,the first glass beach album,(forever?????????),517sX57TlnUy19bkOBfnZS,0.303,0.07,1,-22.367,1,0.0347,0.882,0.108,0.0383,160.118,108000,3
Rayland Baxter,Wide Awake,Without Me,58fhd4lGAudPcnfY9oenp1,0.47,0.351,7,-9.385,1,0.034,1.32e-06,0.556,0.392,152.013,344573,4
Tora,Can't Buy the Mood,Similar,2HMAB8zla6LG6bpjycfsCT,0.41,0.372,1,-8.938,1,0.0487,3.55e-05,0.114,0.2,147.932,168376,4
dhruv,moonlight,moonlight,4d83gRvk3DHU5cWBbyOlSk,0.736,0.5,11,-11.229,0,0.171,0.00131,0.104,0.565,92.031,159130,4
Soft Glas,Stunned,Basil,6MtNaFEE9samNAE9OfX2bo,0.438,0.217,9,-15.78,0,0.0315,0.826,0.0981,0.098,108.065,152500,4
Perfume Genius,Set My Heart On Fire Immediately,Moonbend,7D8Zhn0cJyPHFPs7sFdfgQ,0.282,0.156,5,-13.396,0,0.0416,0.00253,0.109,0.0912,170.126,321520,1
Fyfe,Extended Play,"Two One, Four",2k0gUaEAOniTbwYWNTh9ZA,0.17,0.0383,0,-21.622,1,0.0444,0.918,0.0897,0.0349,79.601,277347,4
Jealous of the Birds,Wisdom Teeth,Kosiskelu,467FWpKENipqUfskHZYACp,0.539,0.646,4,-5.934,0,0.0398,6.1e-06,0.091,0.332,144.074,207920,4
Adam Melchor,Real Estate,Real Estate,2VvTMIXG760UiG9OSiFt9j,0.493,0.284,2,-12.815,1,0.0309,0.00739,0.151,0.199,79.959,216000,4
Charlie Burg,Live in Peter's Attic,I Don't Wanna Be Okay Without You,5HKv1sFHbXgmXBih203HxT,0.532,0.319,5,-7.461,1,0.0288,2.52e-05,0.138,0.166,62.984,243797,4
Theo Katzman,Modern Johnny Sings: Songs in the Age of Vibe,Fog in the Mirror,2gx8bumNIp9AS3JSSYekgc,0.736,0.278,3,-14.971,1,0.0517,0.184,0.111,0.259,101.927,241376,4
